637651487762554881	sony	@PersonaSoda well yeah, that's third parties. Sony itself isn't putting out actual games for it. It's got 1-2 yrs of 3rd party support left.	
637666734300905472	sony	Sony rewards app is like a lot of 19 y.o female singers and a non retro sale. 2nd one with no info	
637668142110654468	sony	@fakethom Have android tab and don't use phone much, in fact very little. May go the Sony route then:-)	
637708370129125377	sony	Finally I get my ps4 back I sent it to Sony cause my HDMI was mess up now I can play MG's Tuesday yeaaaaa buddy	
637857585652076544	sony	Sony's 1st teaser package for the launch of the original Playstation seems to feature a dominatrix? https://t.co/xbisCRkPL4 #MistressSophia	
637859860017647616	sony	#tv Ind vs SL 3rd Test Day 3: Cricket live score and Sony Six live streaming info: Watch the live teleca... http://t.co/mUlHw4cN00 #Sony	
637923877423742977	sony	@TruthInsider @bertymufc @gamerxone720 @PNF4LYFE @Yanks2013 @VirtuaMe Lol it's all about Sony Sony Sony, if Sony gave Bj's u be the 1st	
638045103861465088	sony	@greencapt Official reason, because the game has to be on our region store and sony wont have it up til tuesday	
638141885022736385	sony	the only thing crazier than last-gen was 6th-gen. a 4-way console race between Sega, Nintendo, Microsoft &amp; Sony. you'll NEVER see that again	
638159273072062464	sony	When you remember Sony is trying to make bible study mandatory on Sunday nights @xo_taylorbang http://t.co/CfljDMvMv3	
638172841284866053	sony	I know it's coming coon but I don't get why it's taken so long for Sony to release a remote for the PS4. All of the 3rd party ones are bad.	
638175116145377280	sony	@InfinityInq Everyone is playing 3.0 and I'm just sitting here playing 2.0 because Sony is making me wait until tomorrow.	
638198267013169153	sony	Albert Shum and I won 3rd in a SONY design competition in early 90's...our design was a phone in which you push... http://t.co/gAKP1hAyYX	
638270737502105600	sony	@InnoBystander Might keep SONY monthly subs going beyond tomorrow....	
638393198201696256	sony	@tauriqmoosa Nope. Tomorrow.  Wait... tomorrow's also when Sony breaks out the next bundle of PS+ freebies.  Oh, what a LOVELY day!	
638394988892520448	sony	Uncharted 4: A Thief's End launches for PS4 in North America on March 18, 2016, Sony announced today.The latest game in the Naughty D...	
638399901349621760	sony	@kewldoode72 Will be interesting to see if  Sony addresses the heat issues in the Z5 - it may have found a work around	
638453810093006848	sony	@pizzalordess is official. Coming back to the Sony family with Destiny in hand Sept 15th.	
638481185275052032	sony	@Adam_OliverYT Hi Adam, you may need to contact Playstation support or Sony for details regarding this aspect of your purchase. ^TO	
638575315770478593	sony	Oh my gosh actual acknowledgement from Sony the Vita exists. https://t.co/3QEfWcBRu0	
638626774503415808	sony	Mashable : Sony's electronics division may be in a slump, but it doesn't plan on fading quietly into the night. To spur innovation at...	
638640306905190400	sony	#tech Sony's new smartwatch packs all its tech in the wristband: Sony's electronics division may be in a slump... http://t.co/moVzepIzww	
638775649193361409	sony	@bollybrit @itsnacool both of webb ones made less money than the 3rd Raimi one, plus the success of Marvel had Sony scared i think	
638783969568366593	sony	And in comes Sony with the letdown. Only one color. Clap it up... low and slow https://t.co/6jaRCgfvTP	
